,CUID,Species,Year,Spawners,Recruits,KF_alpha,lnRS,Ricker_resid,R_S
184,177,Lake Sockeye,1997,3446,NA,NA,NA,NA,0
185,177,Lake Sockeye,1998,5378,NA,NA,NA,NA,0
186,177,Lake Sockeye,1999,NA,NA,NA,NA,NA,0
187,177,Lake Sockeye,2000,NA,6714,NA,NA,NA,0
188,177,Lake Sockeye,2001,10336,5643,NA,NA,NA,0.545955882
189,177,Lake Sockeye,2002,NA,5982,NA,NA,NA,0
190,177,Lake Sockeye,2003,NA,6566,NA,NA,NA,0
191,177,Lake Sockeye,2004,5910,7752,NA,NA,NA,1.311675127
192,177,Lake Sockeye,2005,6268,14803,NA,NA,NA,2.361678366
193,177,Lake Sockeye,2006,3548,28959,NA,NA,NA,8.162063134
194,177,Lake Sockeye,2007,6585,33278,NA,NA,NA,5.053606682
195,177,Lake Sockeye,2008,5481,29057,NA,NA,NA,5.301404853
196,177,Lake Sockeye,2009,7531,25918,NA,NA,NA,3.441508432
197,177,Lake Sockeye,2010,16035,14746,NA,NA,NA,0.919613346
198,177,Lake Sockeye,2011,34785,11884,NA,NA,NA,0.341641512
199,177,Lake Sockeye,2012,27604,NA,NA,NA,NA,0
200,177,Lake Sockeye,2013,27295,NA,NA,NA,NA,0
201,177,Lake Sockeye,2014,24370,NA,NA,NA,NA,0
202,177,Lake Sockeye,2015,4685,NA,NA,NA,NA,0
203,177,Lake Sockeye,2016,NA,NA,NA,NA,NA,0
204,177,Lake Sockeye,2017,NA,NA,NA,NA,NA,0
205,178,Lake Sockeye,1950,NA,NA,NA,NA,NA,0
206,178,Lake Sockeye,1951,NA,NA,NA,NA,NA,0
207,178,Lake Sockeye,1952,NA,NA,NA,NA,NA,0
208,178,Lake Sockeye,1953,NA,NA,NA,NA,NA,0
209,178,Lake Sockeye,1954,NA,NA,NA,NA,NA,0
210,178,Lake Sockeye,1955,NA,NA,NA,NA,NA,0
211,178,Lake Sockeye,1956,NA,1834,NA,NA,NA,0
212,178,Lake Sockeye,1957,NA,1566,NA,NA,NA,0
213,178,Lake Sockeye,1958,NA,1582,NA,NA,NA,0
214,178,Lake Sockeye,1959,NA,1870,NA,NA,NA,0
215,178,Lake Sockeye,1960,1500,4985,NA,NA,NA,3.323333333
216,178,Lake Sockeye,1961,1500,8594,NA,NA,NA,5.729333333
217,178,Lake Sockeye,1962,1000,5130,NA,NA,NA,5.13
218,178,Lake Sockeye,1963,1600,3913,NA,NA,NA,2.445625
219,178,Lake Sockeye,1964,1000,4202,NA,NA,NA,4.202
220,178,Lake Sockeye,1965,6000,3214,NA,NA,NA,0.535666667
221,178,Lake Sockeye,1966,8000,3386,NA,NA,NA,0.42325
222,178,Lake Sockeye,1967,400,2524,NA,NA,NA,6.31
223,178,Lake Sockeye,1968,5000,3733,NA,NA,NA,0.7466
224,178,Lake Sockeye,1969,1944,4778,NA,NA,NA,2.45781893
225,178,Lake Sockeye,1970,3000,NA,NA,NA,NA,0
226,178,Lake Sockeye,1971,2600,NA,NA,NA,NA,0
227,178,Lake Sockeye,1972,1200,NA,NA,NA,NA,0
228,178,Lake Sockeye,1973,4000,6279,NA,NA,NA,1.56975
229,178,Lake Sockeye,1974,3600,5824,NA,NA,NA,1.617777778
230,178,Lake Sockeye,1975,200,1691,NA,NA,NA,8.455
231,178,Lake Sockeye,1976,NA,2348,NA,NA,NA,0
